captured_at,static_rank,team_name,team_id,submission_id,leaderboard_score,episodes,wins,losses,draws,win_rate,win_rate_wilson_lcb95,sample_sufficiency_to_500,selection_score_65_lcb_35_volume,window_censored,archetype,deck_sha256,strict_500_eligible,strict_win_rate_order,mandatory_lumen,meets_200_episode_floor,selected_roster_order,package_name,sample_episode_id
2026-07-22T21:15:27.634743+00:00,36,pztriatomic,16375173,54908769,1050.9,63,42,21,0,0.6666666666666666,0.5436724114497559,0.126,0.3974870674423413,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,False,,rank_036_alakazam_bc,87534049
2026-07-22T21:15:27.634743+00:00,37,Filip Strzałka,16469075,54912078,1050.0,13,10,3,0,0.7692307692307693,0.49743624053272495,0.026,0.3324335563462712,False,Mega Lucario ex / Solrock,c6ca39850d15dce9d006f62585869e901a3339872acf34d52f63e1206bea9b94,False,,False,False,,rank_037_mega_lucario_ex_bc,87534854
2026-07-22T21:15:27.634743+00:00,38,btk15049,16371466,54785331,1049.1,311,175,136,0,0.5627009646302251,0.5071369452783226,0.622,0.5473390144309097,False,Marnie's Grimmsnarl ex / Froslass,e2e03fe8ef9592b1204c159a7725da3945675fa872b1e18baca550560503a78e,False,,False,True,15,rank_038_marnies_grimmsnarl_ex_bc,87533562
2026-07-22T21:15:27.634743+00:00,39,monnosuke,16376465,54879579,1049.0,200,119,81,0,0.595,0.5257971008133869,0.4,0.48176811552870147,False,Marnie's Grimmsnarl ex / Froslass,44034488cbc171e93ff9750c310d61a4713cb505cb455eaa32d2e15965eec618,False,,False,True,,rank_039_marnies_grimmsnarl_ex_bc,87535077
2026-07-22T21:15:27.634743+00:00,40,Tanupro,16378362,54906744,1047.7,56,40,16,0,0.7142857142857143,0.5852474928448334,0.112,0.4196108703491417,False,Mega Kangaskhan ex / Crustle,67cf83ea7e092595551b8cd9668be37903de3beb362b384f21c07b66d0549ff9,False,,False,False,,rank_040_mega_kangaskhan_ex_bc,87533815
2026-07-22T21:15:27.634743+00:00,41,Roman Stupin,16533373,54906631,1045.5,103,66,37,0,0.6407766990291263,0.5446011395690535,0.206,0.4260907407198848,False,Marnie's Grimmsnarl ex / Froslass,c20a8a46f5c635773754f03103652f5c534b13dc622448ed2255a97234c103af,False,,False,False,,rank_041_marnies_grimmsnarl_ex_bc,87535103
2026-07-22T21:15:27.634743+00:00,42,Pokemon Fan,16505594,54897256,1041.2,95,62,33,0,0.6526315789473685,0.5526464467822214,0.19,0.42572019040844394,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,False,,rank_042_alakazam_bc,87535151
2026-07-22T21:15:27.634743+00:00,43,NguyenThanhNhan,16381904,54892703,1039.4,86,52,34,0,0.6046511627906976,0.4989772079672809,0.172,0.3845351851787326,False,Cynthia's Garchomp ex / Roserade,c04e65de725b8bb51b25f5dc87ae1c56a01316177c501ee2cfc62b3c60ac5712,False,,False,False,,rank_043_cynthias_garchomp_ex_bc,87528551
2026-07-22T21:15:27.634743+00:00,44,Benarg,16401597,54911556,1038.3,25,16,9,0,0.64,0.44518497748164865,0.05,0.3068702353630716,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,False,,rank_044_alakazam_bc,87534892
2026-07-22T21:15:27.634743+00:00,45,Rafael,16382964,54911846,1037.4,15,11,4,0,0.7333333333333333,0.48049565944019434,0.03,0.32282217863612633,False,Marnie's Grimmsnarl ex / Froslass,c20a8a46f5c635773754f03103652f5c534b13dc622448ed2255a97234c103af,False,,False,False,,rank_045_marnies_grimmsnarl_ex_bc,87534862
2026-07-22T21:15:27.634743+00:00,46,대답해드리는게인지상정,16448642,54897104,1036.9,80,48,32,0,0.6,0.49045465005160394,0.16,0.37479552253354254,False,Marnie's Grimmsnarl ex / Froslass,c20a8a46f5c635773754f03103652f5c534b13dc622448ed2255a97234c103af,False,,False,False,,rank_046_marnies_grimmsnarl_ex_bc,87534999
2026-07-22T21:15:27.634743+00:00,47,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,16464757,54902298,1034.4,64,43,21,0,0.671875,0.5499910584909149,0.128,0.4022941880190947,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,False,,rank_047_alakazam_bc,87530747
2026-07-22T21:15:27.634743+00:00,48,Ghleii,16462943,54866812,1034.0,246,141,105,0,0.573170731707317,0.5107036804266203,0.492,0.5041573922773032,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,True,,rank_048_alakazam_bc,87535029
2026-07-22T21:15:27.634743+00:00,49,タニシ,16414053,54903537,1033.6,70,50,20,0,0.7142857142857143,0.5994980341827975,0.14,0.43867372221881834,False,N's Zoroark ex,cf7f5259243505476cdfac504b2d8cc2c5c7c4a5c0df234b2115486215a2d516,False,,False,False,,rank_049_ns_zoroark_ex_bc,87533412
2026-07-22T21:15:27.634743+00:00,50,rick & shikitora,16411029,54852769,1033.3,290,155,135,0,0.5344827586206896,0.4769971660434822,0.58,0.5130481579282634,False,Alakazam / Dudunsparce,f1776ee333fe625be829c895cbea25cf1673250f957e40d6c0b1bd58541cb8e6,False,,False,True,19,rank_050_alakazam_bc,87531434
2026-07-22T21:15:27.634743+00:00,51,Budew,16371434,54888784,1033.3,81,56,25,0,0.691358024691358,0.5840194691734774,0.162,0.4363126549627603,False,Mega Kangaskhan ex / Crustle,747769779b60ad8db730b0b238414abb1e47936349cc72c83ff79c2ffacf31bc,False,,False,False,,rank_051_mega_kangaskhan_ex_bc,87529120
2026-07-22T21:15:27.634743+00:00,52,wally0593,16471516,54822733,1032.6,486,256,230,0,0.5267489711934157,0.4823238721936453,0.972,0.6537105169258695,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,True,9,rank_052_alakazam_bc,87535135
2026-07-22T21:15:27.634743+00:00,53,MtN,16408528,54901047,1031.5,81,49,32,0,0.6049382716049383,0.4960547732360616,0.162,0.37913560260344004,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,False,,rank_053_alakazam_bc,87534503
2026-07-22T21:15:27.634743+00:00,54,213tubo,16371653,54900415,1031.1,90,51,39,0,0.5666666666666667,0.46364097523724423,0.18,0.36436663390420876,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,False,,rank_054_alakazam_bc,87534694
